requirement_id,bound_tests,executed_tests,passed_tests,failed_tests,status,test_ids,test_files
REQ-COM-001,3,2,2,0,PASS,commands::tests::test_commercialization_package_is_redacted;commercialization_tests::test_data_room_workflow,apps/desktop/src-tauri/src/commands.rs;crates/commercialization/src/lib.rs
REQ-COM-002,7,6,6,0,PASS,asset_readiness::tests::test_continuous_chain_is_ready_and_ordered;asset_readiness::tests::test_invalid_records_are_refused_and_questions_block_readiness;asset_readiness::tests::test_lien_is_surfaced_and_blocks_readiness;asset_readiness::tests::test_missing_assignment_is_a_gap_not_an_assumption;asset_readiness::tests::test_recordation_is_evidence_and_never_validation;commands::tests::test_asset_readiness_reports_gaps_and_never_treats_recordation_as_validation,apps/desktop/src-tauri/src/commands.rs;crates/commercialization/src/asset_readiness.rs
REQ-COM-003,7,6,6,0,PASS,commands::tests::test_evaluate_valuation_enforces_range_assumptions_and_label;valuation_tests::test_assumption_bounds_are_validated;valuation_tests::test_sensitivity_ranks_the_dominant_assumption_first;valuation_tests::test_valuation_is_a_range_tied_to_explicit_assumptions;valuation_tests::test_valuation_label_must_not_assert_appraisal_authority;valuation_tests::test_valuation_requires_assumptions_and_a_sane_range,apps/desktop/src-tauri/src/commands.rs;crates/commercialization/src/lib.rs
REQ-COM-004,3,2,2,0,PASS,commands::tests::test_commercialization_package_is_redacted;commercialization_tests::test_data_room_workflow,apps/desktop/src-tauri/src/commands.rs;crates/commercialization/src/lib.rs
REQ-DATA-001,9,8,8,0,PASS,commands::tests::test_conception_ledger_reads_durable_state_and_separates_origins;commands::tests::test_keyed_recording_reports_replays_and_refuses_key_reuse;commands::tests::test_record_conception_persists_through_the_vault;e2e::exposes the Human Conception Ledger read path and states it honestly;vault::tests::test_conception_event_survives_reopen;vault::tests::test_events_are_workspace_scoped;vault::tests::test_keyed_writes_are_idempotent_and_conflicts_are_refused;vault::tests::test_unknown_workspace_is_refused,apps/desktop/e2e/shell.spec.ts;apps/desktop/src-tauri/src/commands.rs;crates/storage/src/vault.rs
REQ-DATA-002,6,5,5,0,PASS,commands::tests::test_record_conception_persists_through_the_vault;vault::tests::test_audit_chain_verifies_and_detects_tampering;vault::tests::test_blobs_are_content_addressed;vault::tests::test_sha256_known_vector;vault::tests::test_validation_rejects_empty_inputs,apps/desktop/src-tauri/src/commands.rs;crates/storage/src/vault.rs
REQ-DATA-003,7,6,6,0,PASS,commands::tests::test_claim_evidence_link_is_persisted_and_independent;commands::tests::test_support_matrix_persists_into_junction_tables;vault::tests::test_claim_relationships_round_trip_through_junctions;vault::tests::test_claim_support_evidence_uses_normalized_junction_tables;vault::tests::test_junction_foreign_keys_are_enforced;vault::tests::test_migration_matrix_preserves_data_from_every_prior_schema,apps/desktop/src-tauri/src/commands.rs;crates/storage/src/vault.rs
REQ-DOM-001,6,4,4,0,PASS,commands::tests::test_record_conception_labels_human_origin;origin_tests::test_human_vs_ai_origin;tests::test_domain_entity_lifecycle;vault::tests::test_conception_event_survives_reopen,apps/desktop/src-tauri/src/commands.rs;crates/domain/src/lib.rs;crates/storage/src/vault.rs
REQ-DOM-002,3,3,3,0,PASS,commands::tests::test_record_conception_labels_ai_origin_distinctly;commands::tests::test_record_conception_persists_ai_origin_distinctly;origin_tests::test_human_vs_ai_origin,apps/desktop/src-tauri/src/commands.rs;crates/domain/src/lib.rs
REQ-DOM-003,2,2,2,0,PASS,commands::tests::test_opportunity_requires_evidence_to_be_a_finding;opportunity_tests::test_opportunity_candidate,apps/desktop/src-tauri/src/commands.rs;crates/domain/src/lib.rs
REQ-DOM-004,2,1,1,0,PASS,claim_tests::test_claim_graph_and_design_around,crates/domain/src/lib.rs
