requirement_id,user_outcome,entrypoint_ui_or_api,command_or_route,code_path,data_written,data_read_back,worker_or_async_effect,authz_rule,negative_case,restart_persistence_case,concurrency_case,e2e_test_id,artifact_digest,evidence_path,status
UO-01,See PROJECT_BRIEF.md UO-01,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-001,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-01/,NOT_STARTED
UO-02,See PROJECT_BRIEF.md UO-02,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-002,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-02/,NOT_STARTED
UO-03,See PROJECT_BRIEF.md UO-03,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-003,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-03/,NOT_STARTED
UO-04,See PROJECT_BRIEF.md UO-04,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-004,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-04/,NOT_STARTED
UO-05,See PROJECT_BRIEF.md UO-05,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-005,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-05/,NOT_STARTED
UO-06,See PROJECT_BRIEF.md UO-06,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-006,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-06/,NOT_STARTED
UO-07,See PROJECT_BRIEF.md UO-07,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-007,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-07/,NOT_STARTED
UO-08,See PROJECT_BRIEF.md UO-08,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-008,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-08/,NOT_STARTED
UO-09,See PROJECT_BRIEF.md UO-09,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-009,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-09/,NOT_STARTED
UO-10,See PROJECT_BRIEF.md UO-10,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-010,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-10/,NOT_STARTED
UO-11,See PROJECT_BRIEF.md UO-11,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-011,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-11/,NOT_STARTED
UO-12,See PROJECT_BRIEF.md UO-12,defined by EP-005/EP-007 before implementation,defined in COMMANDS.md when implementation exists,assigned by owning ExecPlan,,,,,mandatory and requirement-specific,mandatory where stateful,mandatory where concurrent,LIN-E2E-012,PENDING_UNTIL_EP-009,.agent/evidence/live-fire/UO-12/,NOT_STARTED
